Timeline Report

Created,"Created: 18/02/2026 at 19:47:38"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"23/01/2026"
To,"23/01/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Electricity Consumption,
Fri 23/01/2026 00:30,"0",
Fri 23/01/2026 01:00,"0",
Fri 23/01/2026 01:30,"0",
Fri 23/01/2026 02:00,"0",
Fri 23/01/2026 02:30,"0",
Fri 23/01/2026 03:00,"0",
Fri 23/01/2026 03:30,"0",
Fri 23/01/2026 04:00,"0",
Fri 23/01/2026 04:30,"0",
Fri 23/01/2026 05:00,"0",
Fri 23/01/2026 05:30,"0",
Fri 23/01/2026 06:00,"0",
Fri 23/01/2026 06:30,"0",
Fri 23/01/2026 07:00,"0",
Fri 23/01/2026 07:30,"0",
Fri 23/01/2026 08:00,"0",
Fri 23/01/2026 08:30,"1.08",
Fri 23/01/2026 09:00,"45",
Fri 23/01/2026 09:30,"578.25",
Fri 23/01/2026 10:00,"152.31",
Fri 23/01/2026 10:30,"820.9",
Fri 23/01/2026 11:00,"743.5",
Fri 23/01/2026 11:30,"912.4",
Fri 23/01/2026 12:00,"809.4",
Fri 23/01/2026 12:30,"1581.95",
Fri 23/01/2026 13:00,"1789.55",
Fri 23/01/2026 13:30,"1740.7",
Fri 23/01/2026 14:00,"925.45",
Fri 23/01/2026 14:30,"429.27",
Fri 23/01/2026 15:00,"231.12",
Fri 23/01/2026 15:30,"106.8",
Fri 23/01/2026 16:00,"114.84",
Fri 23/01/2026 16:30,"69.36",
Fri 23/01/2026 17:00,"23.64",
Fri 23/01/2026 17:30,"0",
Fri 23/01/2026 18:00,"0",
Fri 23/01/2026 18:30,"0",
Fri 23/01/2026 19:00,"0",
Fri 23/01/2026 19:30,"0",
Fri 23/01/2026 20:00,"0",
Fri 23/01/2026 20:30,"0",
Fri 23/01/2026 21:00,"0",
Fri 23/01/2026 21:30,"0",
Fri 23/01/2026 22:00,"0",
Fri 23/01/2026 22:30,"0",
Fri 23/01/2026 23:00,"0",
Fri 23/01/2026 23:30,"0",
Sat 24/01/2026 00:00,"0",
