Timeline Report

Created,"Created: 18/02/2026 at 18:38:01"
Run On,"Point Lane"
Utility,"Electricity"
From,"26/12/2025"
To,"26/12/2025"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Electricity Consumption,
Fri 26/12/2025 00:30,"4.32",
Fri 26/12/2025 01:00,"5.16",
Fri 26/12/2025 01:30,"4.68",
Fri 26/12/2025 02:00,"4.32",
Fri 26/12/2025 02:30,"4.8",
Fri 26/12/2025 03:00,"5.04",
Fri 26/12/2025 03:30,"4.2",
Fri 26/12/2025 04:00,"4.32",
Fri 26/12/2025 04:30,"4.92",
Fri 26/12/2025 05:00,"4.8",
Fri 26/12/2025 05:30,"4.2",
Fri 26/12/2025 06:00,"4.32",
Fri 26/12/2025 06:30,"4.92",
Fri 26/12/2025 07:00,"4.8",
Fri 26/12/2025 07:30,"4.2",
Fri 26/12/2025 08:00,"4.32",
Fri 26/12/2025 08:30,"6.24",
Fri 26/12/2025 09:00,"54.12",
Fri 26/12/2025 09:30,"293.88",
Fri 26/12/2025 10:00,"585.95",
Fri 26/12/2025 10:30,"873.45",
Fri 26/12/2025 11:00,"1097.2",
Fri 26/12/2025 11:30,"1274.5",
Fri 26/12/2025 12:00,"1394.75",
Fri 26/12/2025 12:30,"1193.15",
Fri 26/12/2025 13:00,"1042.8",
Fri 26/12/2025 13:30,"1537.95",
Fri 26/12/2025 14:00,"1331.15",
Fri 26/12/2025 14:30,"1102.3",
Fri 26/12/2025 15:00,"807.4",
Fri 26/12/2025 15:30,"468.84",
Fri 26/12/2025 16:00,"158.64",
Fri 26/12/2025 16:30,"10.92",
Fri 26/12/2025 17:00,"4.44",
Fri 26/12/2025 17:30,"4.44",
Fri 26/12/2025 18:00,"4.92",
Fri 26/12/2025 18:30,"4.68",
Fri 26/12/2025 19:00,"4.2",
Fri 26/12/2025 19:30,"4.56",
Fri 26/12/2025 20:00,"5.04",
Fri 26/12/2025 20:30,"4.68",
Fri 26/12/2025 21:00,"4.32",
Fri 26/12/2025 21:30,"4.68",
Fri 26/12/2025 22:00,"5.16",
Fri 26/12/2025 22:30,"4.56",
Fri 26/12/2025 23:00,"4.44",
Fri 26/12/2025 23:30,"4.68",
Sat 27/12/2025 00:00,"5.16",
