Timeline Report

Created,"Created: 18/02/2026 at 19:02:46"
Run On,"Point Lane"
Utility,"Electricity"
From,"17/01/2026"
To,"17/01/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Electricity Consumption,
Sat 17/01/2026 00:30,"4.08",
Sat 17/01/2026 01:00,"4.44",
Sat 17/01/2026 01:30,"4.8",
Sat 17/01/2026 02:00,"4.44",
Sat 17/01/2026 02:30,"4.08",
Sat 17/01/2026 03:00,"4.56",
Sat 17/01/2026 03:30,"4.8",
Sat 17/01/2026 04:00,"4.32",
Sat 17/01/2026 04:30,"4.08",
Sat 17/01/2026 05:00,"4.8",
Sat 17/01/2026 05:30,"4.68",
Sat 17/01/2026 06:00,"4.08",
Sat 17/01/2026 06:30,"4.2",
Sat 17/01/2026 07:00,"4.68",
Sat 17/01/2026 07:30,"4.68",
Sat 17/01/2026 08:00,"3.96",
Sat 17/01/2026 08:30,"19.44",
Sat 17/01/2026 09:00,"213.12",
Sat 17/01/2026 09:30,"377.04",
Sat 17/01/2026 10:00,"878.5",
Sat 17/01/2026 10:30,"1060.1",
Sat 17/01/2026 11:00,"1311.6",
Sat 17/01/2026 11:30,"1568.5",
Sat 17/01/2026 12:00,"1632.1",
Sat 17/01/2026 12:30,"1476.4",
Sat 17/01/2026 13:00,"1809.95",
Sat 17/01/2026 13:30,"1665.35",
Sat 17/01/2026 14:00,"1676.3",
Sat 17/01/2026 14:30,"1450.2",
Sat 17/01/2026 15:00,"1185.45",
Sat 17/01/2026 15:30,"840.15",
Sat 17/01/2026 16:00,"405.12",
Sat 17/01/2026 16:30,"42.48",
Sat 17/01/2026 17:00,"6.48",
Sat 17/01/2026 17:30,"5.52",
Sat 17/01/2026 18:00,"4.08",
Sat 17/01/2026 18:30,"4.68",
Sat 17/01/2026 19:00,"4.2",
Sat 17/01/2026 19:30,"3.96",
Sat 17/01/2026 20:00,"4.68",
Sat 17/01/2026 20:30,"4.44",
Sat 17/01/2026 21:00,"3.96",
Sat 17/01/2026 21:30,"4.44",
Sat 17/01/2026 22:00,"4.56",
Sat 17/01/2026 22:30,"4.2",
Sat 17/01/2026 23:00,"3.96",
Sat 17/01/2026 23:30,"4.68",
Sun 18/01/2026 00:00,"4.56",
