Timeline Report

Created,"Created: 18/02/2026 at 18:33:57"
Run On,"Point Lane"
Utility,"Electricity"
From,"19/12/2025"
To,"19/12/2025"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Electricity Consumption,
Fri 19/12/2025 00:30,"3.84",
Fri 19/12/2025 01:00,"4.32",
Fri 19/12/2025 01:30,"4.56",
Fri 19/12/2025 02:00,"3.72",
Fri 19/12/2025 02:30,"4.44",
Fri 19/12/2025 03:00,"4.44",
Fri 19/12/2025 03:30,"3.6",
Fri 19/12/2025 04:00,"4.32",
Fri 19/12/2025 04:30,"4.56",
Fri 19/12/2025 05:00,"3.6",
Fri 19/12/2025 05:30,"4.44",
Fri 19/12/2025 06:00,"4.44",
Fri 19/12/2025 06:30,"3.48",
Fri 19/12/2025 07:00,"4.44",
Fri 19/12/2025 07:30,"4.2",
Fri 19/12/2025 08:00,"3.72",
Fri 19/12/2025 08:30,"4.68",
Fri 19/12/2025 09:00,"3.72",
Fri 19/12/2025 09:30,"5.16",
Fri 19/12/2025 10:00,"4.44",
Fri 19/12/2025 10:30,"4.08",
Fri 19/12/2025 11:00,"3.96",
Fri 19/12/2025 11:30,"3.72",
Fri 19/12/2025 12:00,"4.32",
Fri 19/12/2025 12:30,"66.24",
Fri 19/12/2025 13:00,"4.56",
Fri 19/12/2025 13:30,"352.92",
Fri 19/12/2025 14:00,"1045.55",
Fri 19/12/2025 14:30,"702.1",
Fri 19/12/2025 15:00,"192.15",
Fri 19/12/2025 15:30,"308.64",
Fri 19/12/2025 16:00,"42.24",
Fri 19/12/2025 16:30,"7.56",
Fri 19/12/2025 17:00,"5.52",
Fri 19/12/2025 17:30,"4.56",
Fri 19/12/2025 18:00,"3.6",
Fri 19/12/2025 18:30,"4.56",
Fri 19/12/2025 19:00,"3.6",
Fri 19/12/2025 19:30,"4.56",
Fri 19/12/2025 20:00,"4.2",
Fri 19/12/2025 20:30,"3.84",
Fri 19/12/2025 21:00,"4.68",
Fri 19/12/2025 21:30,"3.48",
Fri 19/12/2025 22:00,"4.56",
Fri 19/12/2025 22:30,"3.72",
Fri 19/12/2025 23:00,"4.32",
Fri 19/12/2025 23:30,"4.2",
Sat 20/12/2025 00:00,"3.96",
