Timeline Report

Created,"Created: 18/02/2026 at 18:27:46"
Run On,"Point Lane"
Utility,"Electricity"
From,"12/12/2025"
To,"12/12/2025"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Electricity Consumption,
Fri 12/12/2025 00:30,"3.96",
Fri 12/12/2025 01:00,"3.96",
Fri 12/12/2025 01:30,"4.2",
Fri 12/12/2025 02:00,"3.84",
Fri 12/12/2025 02:30,"4.32",
Fri 12/12/2025 03:00,"3.6",
Fri 12/12/2025 03:30,"4.56",
Fri 12/12/2025 04:00,"3.48",
Fri 12/12/2025 04:30,"4.44",
Fri 12/12/2025 05:00,"3.48",
Fri 12/12/2025 05:30,"4.44",
Fri 12/12/2025 06:00,"4.44",
Fri 12/12/2025 06:30,"3.6",
Fri 12/12/2025 07:00,"4.56",
Fri 12/12/2025 07:30,"4.56",
Fri 12/12/2025 08:00,"3.72",
Fri 12/12/2025 08:30,"5.28",
Fri 12/12/2025 09:00,"54.12",
Fri 12/12/2025 09:30,"117.6",
Fri 12/12/2025 10:00,"255.24",
Fri 12/12/2025 10:30,"374.28",
Fri 12/12/2025 11:00,"403.8",
Fri 12/12/2025 11:30,"416.52",
Fri 12/12/2025 12:00,"487.92",
Fri 12/12/2025 12:30,"429.96",
Fri 12/12/2025 13:00,"528",
Fri 12/12/2025 13:30,"763.05",
Fri 12/12/2025 14:00,"845.75",
Fri 12/12/2025 14:30,"1174.1",
Fri 12/12/2025 15:00,"583.55",
Fri 12/12/2025 15:30,"121.59",
Fri 12/12/2025 16:00,"47.76",
Fri 12/12/2025 16:30,"6.48",
Fri 12/12/2025 17:00,"5.28",
Fri 12/12/2025 17:30,"4.44",
Fri 12/12/2025 18:00,"3.48",
Fri 12/12/2025 18:30,"4.44",
Fri 12/12/2025 19:00,"3.6",
Fri 12/12/2025 19:30,"4.56",
Fri 12/12/2025 20:00,"4.2",
Fri 12/12/2025 20:30,"3.84",
Fri 12/12/2025 21:00,"4.56",
Fri 12/12/2025 21:30,"3.72",
Fri 12/12/2025 22:00,"4.44",
Fri 12/12/2025 22:30,"4.32",
Fri 12/12/2025 23:00,"3.72",
Fri 12/12/2025 23:30,"4.56",
Sat 13/12/2025 00:00,"4.32",
