Timeline Report

Created,"Created: 18/02/2026 at 19:06:38"
Run On,"Point Lane"
Utility,"Electricity"
From,"20/01/2026"
To,"20/01/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Electricity Consumption,
Tue 20/01/2026 00:30,"3.84",
Tue 20/01/2026 01:00,"4.56",
Tue 20/01/2026 01:30,"4.68",
Tue 20/01/2026 02:00,"4.2",
Tue 20/01/2026 02:30,"4.2",
Tue 20/01/2026 03:00,"4.8",
Tue 20/01/2026 03:30,"4.92",
Tue 20/01/2026 04:00,"4.44",
Tue 20/01/2026 04:30,"4.44",
Tue 20/01/2026 05:00,"4.8",
Tue 20/01/2026 05:30,"5.16",
Tue 20/01/2026 06:00,"4.68",
Tue 20/01/2026 06:30,"4.68",
Tue 20/01/2026 07:00,"4.68",
Tue 20/01/2026 07:30,"5.16",
Tue 20/01/2026 08:00,"4.92",
Tue 20/01/2026 08:30,"4.68",
Tue 20/01/2026 09:00,"1.44",
Tue 20/01/2026 09:30,"15.84",
Tue 20/01/2026 10:00,"44.04",
Tue 20/01/2026 10:30,"51.72",
Tue 20/01/2026 11:00,"54.96",
Tue 20/01/2026 11:30,"134.04",
Tue 20/01/2026 12:00,"74.52",
Tue 20/01/2026 12:30,"118.08",
Tue 20/01/2026 13:00,"103.92",
Tue 20/01/2026 13:30,"166.08",
Tue 20/01/2026 14:00,"109.92",
Tue 20/01/2026 14:30,"68.16",
Tue 20/01/2026 15:00,"76.8",
Tue 20/01/2026 15:30,"109.56",
Tue 20/01/2026 16:00,"74.04",
Tue 20/01/2026 16:30,"36.24",
Tue 20/01/2026 17:00,"6.72",
Tue 20/01/2026 17:30,"6.12",
Tue 20/01/2026 18:00,"4.92",
Tue 20/01/2026 18:30,"4.32",
Tue 20/01/2026 19:00,"4.08",
Tue 20/01/2026 19:30,"4.8",
Tue 20/01/2026 20:00,"4.8",
Tue 20/01/2026 20:30,"4.32",
Tue 20/01/2026 21:00,"3.96",
Tue 20/01/2026 21:30,"4.68",
Tue 20/01/2026 22:00,"4.68",
Tue 20/01/2026 22:30,"4.08",
Tue 20/01/2026 23:00,"4.2",
Tue 20/01/2026 23:30,"4.68",
Wed 21/01/2026 00:00,"4.56",
