Timeline Report

Created,"Created: 18/02/2026 at 21:15:20"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"08/02/2026"
To,"08/02/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Sun 08/02/2026 00:30,"0",
Sun 08/02/2026 01:00,"0",
Sun 08/02/2026 01:30,"0",
Sun 08/02/2026 02:00,"0",
Sun 08/02/2026 02:30,"0",
Sun 08/02/2026 03:00,"0",
Sun 08/02/2026 03:30,"0",
Sun 08/02/2026 04:00,"0",
Sun 08/02/2026 04:30,"0",
Sun 08/02/2026 05:00,"0",
Sun 08/02/2026 05:30,"0",
Sun 08/02/2026 06:00,"0",
Sun 08/02/2026 06:30,"0",
Sun 08/02/2026 07:00,"0",
Sun 08/02/2026 07:30,"0",
Sun 08/02/2026 08:00,"5.28",
Sun 08/02/2026 08:30,"137.52",
Sun 08/02/2026 09:00,"290.64",
Sun 08/02/2026 09:30,"252.24",
Sun 08/02/2026 10:00,"1353.1",
Sun 08/02/2026 10:30,"1368.5",
Sun 08/02/2026 11:00,"2208.9",
Sun 08/02/2026 11:30,"2722.8",
Sun 08/02/2026 12:00,"3251.5",
Sun 08/02/2026 12:30,"4457.3",
Sun 08/02/2026 13:00,"4729.2",
Sun 08/02/2026 13:30,"2270.4",
Sun 08/02/2026 14:00,"601.26",
Sun 08/02/2026 14:30,"210.72",
Sun 08/02/2026 15:00,"158.16",
Sun 08/02/2026 15:30,"86.4",
Sun 08/02/2026 16:00,"919.68",
Sun 08/02/2026 16:30,"351.84",
Sun 08/02/2026 17:00,"214.08",
Sun 08/02/2026 17:30,"2.4",
Sun 08/02/2026 18:00,"0",
Sun 08/02/2026 18:30,"0",
Sun 08/02/2026 19:00,"0",
Sun 08/02/2026 19:30,"0",
Sun 08/02/2026 20:00,"0",
Sun 08/02/2026 20:30,"0",
Sun 08/02/2026 21:00,"0",
Sun 08/02/2026 21:30,"0",
Sun 08/02/2026 22:00,"0",
Sun 08/02/2026 22:30,"0",
Sun 08/02/2026 23:00,"0",
Sun 08/02/2026 23:30,"0",
Mon 09/02/2026 00:00,"0",
