Timeline Report

Created,"Created: 18/02/2026 at 19:01:37"
Run On,"Point Lane"
Utility,"Electricity"
From,"16/01/2026"
To,"16/01/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Electricity Consumption,
Fri 16/01/2026 00:30,"4.32",
Fri 16/01/2026 01:00,"4.56",
Fri 16/01/2026 01:30,"3.72",
Fri 16/01/2026 02:00,"4.32",
Fri 16/01/2026 02:30,"4.56",
Fri 16/01/2026 03:00,"3.96",
Fri 16/01/2026 03:30,"4.2",
Fri 16/01/2026 04:00,"4.68",
Fri 16/01/2026 04:30,"4.32",
Fri 16/01/2026 05:00,"3.84",
Fri 16/01/2026 05:30,"4.68",
Fri 16/01/2026 06:00,"4.56",
Fri 16/01/2026 06:30,"3.96",
Fri 16/01/2026 07:00,"4.08",
Fri 16/01/2026 07:30,"4.56",
Fri 16/01/2026 08:00,"4.2",
Fri 16/01/2026 08:30,"36.36",
Fri 16/01/2026 09:00,"22.8",
Fri 16/01/2026 09:30,"145.56",
Fri 16/01/2026 10:00,"228.84",
Fri 16/01/2026 10:30,"550.9",
Fri 16/01/2026 11:00,"1038.6",
Fri 16/01/2026 11:30,"175.46",
Fri 16/01/2026 12:00,"155.52",
Fri 16/01/2026 12:30,"453.48",
Fri 16/01/2026 13:00,"476.04",
Fri 16/01/2026 13:30,"844.8",
Fri 16/01/2026 14:00,"415.2",
Fri 16/01/2026 14:30,"217.92",
Fri 16/01/2026 15:00,"160.32",
Fri 16/01/2026 15:30,"219.84",
Fri 16/01/2026 16:00,"178.56",
Fri 16/01/2026 16:30,"83.4",
Fri 16/01/2026 17:00,"4.32",
Fri 16/01/2026 17:30,"6",
Fri 16/01/2026 18:00,"4.32",
Fri 16/01/2026 18:30,"4.32",
Fri 16/01/2026 19:00,"4.68",
Fri 16/01/2026 19:30,"4.8",
Fri 16/01/2026 20:00,"4.8",
Fri 16/01/2026 20:30,"4.08",
Fri 16/01/2026 21:00,"4.2",
Fri 16/01/2026 21:30,"4.8",
Fri 16/01/2026 22:00,"4.8",
Fri 16/01/2026 22:30,"3.96",
Fri 16/01/2026 23:00,"4.44",
Fri 16/01/2026 23:30,"4.8",
Sat 17/01/2026 00:00,"4.44",
