Timeline Report

Created,"Created: 18/02/2026 at 21:16:52"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"10/02/2026"
To,"10/02/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Tue 10/02/2026 00:30,"0",
Tue 10/02/2026 01:00,"0",
Tue 10/02/2026 01:30,"0",
Tue 10/02/2026 02:00,"0",
Tue 10/02/2026 02:30,"0",
Tue 10/02/2026 03:00,"0",
Tue 10/02/2026 03:30,"0",
Tue 10/02/2026 04:00,"0",
Tue 10/02/2026 04:30,"0",
Tue 10/02/2026 05:00,"0",
Tue 10/02/2026 05:30,"0",
Tue 10/02/2026 06:00,"0",
Tue 10/02/2026 06:30,"0",
Tue 10/02/2026 07:00,"0",
Tue 10/02/2026 07:30,"0",
Tue 10/02/2026 08:00,"3.12",
Tue 10/02/2026 08:30,"104.4",
Tue 10/02/2026 09:00,"213.12",
Tue 10/02/2026 09:30,"261.12",
Tue 10/02/2026 10:00,"273.84",
Tue 10/02/2026 10:30,"626.64",
Tue 10/02/2026 11:00,"388.08",
Tue 10/02/2026 11:30,"445.2",
Tue 10/02/2026 12:00,"419.28",
Tue 10/02/2026 12:30,"892.56",
Tue 10/02/2026 13:00,"1177.2",
Tue 10/02/2026 13:30,"413.52",
Tue 10/02/2026 14:00,"922.08",
Tue 10/02/2026 14:30,"899.28",
Tue 10/02/2026 15:00,"499.2",
Tue 10/02/2026 15:30,"531.36",
Tue 10/02/2026 16:00,"344.4",
Tue 10/02/2026 16:30,"164.16",
Tue 10/02/2026 17:00,"165.36",
Tue 10/02/2026 17:30,"16.32",
Tue 10/02/2026 18:00,"0",
Tue 10/02/2026 18:30,"0",
Tue 10/02/2026 19:00,"0",
Tue 10/02/2026 19:30,"0",
Tue 10/02/2026 20:00,"0",
Tue 10/02/2026 20:30,"0",
Tue 10/02/2026 21:00,"0",
Tue 10/02/2026 21:30,"0",
Tue 10/02/2026 22:00,"0",
Tue 10/02/2026 22:30,"0",
Tue 10/02/2026 23:00,"0",
Tue 10/02/2026 23:30,"0",
Wed 11/02/2026 00:00,"0",
