Timeline Report

Created,"Created: 18/02/2026 at 21:21:21"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"16/02/2026"
To,"16/02/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Mon 16/02/2026 00:30,"0",
Mon 16/02/2026 01:00,"0",
Mon 16/02/2026 01:30,"0",
Mon 16/02/2026 02:00,"0",
Mon 16/02/2026 02:30,"0",
Mon 16/02/2026 03:00,"0",
Mon 16/02/2026 03:30,"0",
Mon 16/02/2026 04:00,"0",
Mon 16/02/2026 04:30,"0",
Mon 16/02/2026 05:00,"0",
Mon 16/02/2026 05:30,"0",
Mon 16/02/2026 06:00,"0",
Mon 16/02/2026 06:30,"0",
Mon 16/02/2026 07:00,"0",
Mon 16/02/2026 07:30,"0.48",
Mon 16/02/2026 08:00,"143.04",
Mon 16/02/2026 08:30,"543.84",
Mon 16/02/2026 09:00,"717.12",
Mon 16/02/2026 09:30,"2025.6",
Mon 16/02/2026 10:00,"2210.8",
Mon 16/02/2026 10:30,"3538.4",
Mon 16/02/2026 11:00,"3022.3",
Mon 16/02/2026 11:30,"2743.2",
Mon 16/02/2026 12:00,"2612.6",
Mon 16/02/2026 12:30,"2575.7",
Mon 16/02/2026 13:00,"2789.3",
Mon 16/02/2026 13:30,"1506.5",
Mon 16/02/2026 14:00,"1825.4",
Mon 16/02/2026 14:30,"1117",
Mon 16/02/2026 15:00,"1143.1",
Mon 16/02/2026 15:30,"1008.9",
Mon 16/02/2026 16:00,"1012.4",
Mon 16/02/2026 16:30,"1673.5",
Mon 16/02/2026 17:00,"635.06",
Mon 16/02/2026 17:30,"108.24",
Mon 16/02/2026 18:00,"7.2",
Mon 16/02/2026 18:30,"0",
Mon 16/02/2026 19:00,"0",
Mon 16/02/2026 19:30,"0",
Mon 16/02/2026 20:00,"0",
Mon 16/02/2026 20:30,"0",
Mon 16/02/2026 21:00,"0",
Mon 16/02/2026 21:30,"0",
Mon 16/02/2026 22:00,"0",
Mon 16/02/2026 22:30,"0",
Mon 16/02/2026 23:00,"0",
Mon 16/02/2026 23:30,"0",
Tue 17/02/2026 00:00,"0",
