Timeline Report

Created,"Created: 18/02/2026 at 21:11:34"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"03/02/2026"
To,"03/02/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Tue 03/02/2026 00:30,"0",
Tue 03/02/2026 01:00,"0",
Tue 03/02/2026 01:30,"0",
Tue 03/02/2026 02:00,"0",
Tue 03/02/2026 02:30,"0",
Tue 03/02/2026 03:00,"0",
Tue 03/02/2026 03:30,"0",
Tue 03/02/2026 04:00,"0",
Tue 03/02/2026 04:30,"0",
Tue 03/02/2026 05:00,"0",
Tue 03/02/2026 05:30,"0",
Tue 03/02/2026 06:00,"0",
Tue 03/02/2026 06:30,"0",
Tue 03/02/2026 07:00,"0",
Tue 03/02/2026 07:30,"0",
Tue 03/02/2026 08:00,"0",
Tue 03/02/2026 08:30,"14.4",
Tue 03/02/2026 09:00,"140.16",
Tue 03/02/2026 09:30,"243.36",
Tue 03/02/2026 10:00,"342.48",
Tue 03/02/2026 10:30,"388.32",
Tue 03/02/2026 11:00,"411.84",
Tue 03/02/2026 11:30,"517.2",
Tue 03/02/2026 12:00,"740.4",
Tue 03/02/2026 12:30,"766.8",
Tue 03/02/2026 13:00,"882.96",
Tue 03/02/2026 13:30,"841.44",
Tue 03/02/2026 14:00,"1383.3",
Tue 03/02/2026 14:30,"1320.3",
Tue 03/02/2026 15:00,"1077.6",
Tue 03/02/2026 15:30,"574.08",
Tue 03/02/2026 16:00,"348.72",
Tue 03/02/2026 16:30,"188.88",
Tue 03/02/2026 17:00,"78",
Tue 03/02/2026 17:30,"4.56",
Tue 03/02/2026 18:00,"0",
Tue 03/02/2026 18:30,"0",
Tue 03/02/2026 19:00,"0",
Tue 03/02/2026 19:30,"0",
Tue 03/02/2026 20:00,"0",
Tue 03/02/2026 20:30,"0",
Tue 03/02/2026 21:00,"0",
Tue 03/02/2026 21:30,"0",
Tue 03/02/2026 22:00,"0",
Tue 03/02/2026 22:30,"0",
Tue 03/02/2026 23:00,"0",
Tue 03/02/2026 23:30,"0",
Wed 04/02/2026 00:00,"0",
