Timeline Report

Created,"Created: 18/02/2026 at 19:00:24"
Run On,"Point Lane"
Utility,"Electricity"
From,"15/01/2026"
To,"15/01/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Electricity Consumption,
Thu 15/01/2026 00:30,"4.2",
Thu 15/01/2026 01:00,"4.56",
Thu 15/01/2026 01:30,"3.84",
Thu 15/01/2026 02:00,"4.2",
Thu 15/01/2026 02:30,"4.56",
Thu 15/01/2026 03:00,"3.84",
Thu 15/01/2026 03:30,"4.2",
Thu 15/01/2026 04:00,"4.56",
Thu 15/01/2026 04:30,"3.6",
Thu 15/01/2026 05:00,"4.56",
Thu 15/01/2026 05:30,"4.32",
Thu 15/01/2026 06:00,"3.72",
Thu 15/01/2026 06:30,"4.56",
Thu 15/01/2026 07:00,"4.68",
Thu 15/01/2026 07:30,"3.96",
Thu 15/01/2026 08:00,"4.08",
Thu 15/01/2026 08:30,"3.24",
Thu 15/01/2026 09:00,"10.08",
Thu 15/01/2026 09:30,"89.52",
Thu 15/01/2026 10:00,"172.32",
Thu 15/01/2026 10:30,"258.84",
Thu 15/01/2026 11:00,"313.92",
Thu 15/01/2026 11:30,"375.36",
Thu 15/01/2026 12:00,"519",
Thu 15/01/2026 12:30,"630.6",
Thu 15/01/2026 13:00,"594",
Thu 15/01/2026 13:30,"617.5",
Thu 15/01/2026 14:00,"792.1",
Thu 15/01/2026 14:30,"775.2",
Thu 15/01/2026 15:00,"1251.75",
Thu 15/01/2026 15:30,"745.9",
Thu 15/01/2026 16:00,"426.75",
Thu 15/01/2026 16:30,"69.96",
Thu 15/01/2026 17:00,"6.36",
Thu 15/01/2026 17:30,"5.64",
Thu 15/01/2026 18:00,"4.08",
Thu 15/01/2026 18:30,"4.56",
Thu 15/01/2026 19:00,"4.08",
Thu 15/01/2026 19:30,"3.96",
Thu 15/01/2026 20:00,"4.56",
Thu 15/01/2026 20:30,"4.32",
Thu 15/01/2026 21:00,"3.72",
Thu 15/01/2026 21:30,"4.56",
Thu 15/01/2026 22:00,"4.44",
Thu 15/01/2026 22:30,"3.72",
Thu 15/01/2026 23:00,"4.56",
Thu 15/01/2026 23:30,"4.68",
Fri 16/01/2026 00:00,"3.72",
