Timeline Report

Created,"Created: 18/02/2026 at 18:52:26"
Run On,"Point Lane"
Utility,"Electricity"
From,"08/01/2026"
To,"08/01/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Electricity Consumption,
Thu 08/01/2026 00:30,"4.56",
Thu 08/01/2026 01:00,"4.32",
Thu 08/01/2026 01:30,"3.72",
Thu 08/01/2026 02:00,"4.68",
Thu 08/01/2026 02:30,"4.56",
Thu 08/01/2026 03:00,"3.6",
Thu 08/01/2026 03:30,"4.56",
Thu 08/01/2026 04:00,"4.56",
Thu 08/01/2026 04:30,"3.72",
Thu 08/01/2026 05:00,"4.44",
Thu 08/01/2026 05:30,"4.68",
Thu 08/01/2026 06:00,"3.72",
Thu 08/01/2026 06:30,"4.44",
Thu 08/01/2026 07:00,"4.56",
Thu 08/01/2026 07:30,"3.72",
Thu 08/01/2026 08:00,"4.32",
Thu 08/01/2026 08:30,"4.56",
Thu 08/01/2026 09:00,"7.8",
Thu 08/01/2026 09:30,"31.2",
Thu 08/01/2026 10:00,"48.6",
Thu 08/01/2026 10:30,"50.76",
Thu 08/01/2026 11:00,"57.6",
Thu 08/01/2026 11:30,"84.12",
Thu 08/01/2026 12:00,"83.28",
Thu 08/01/2026 12:30,"70.44",
Thu 08/01/2026 13:00,"67.08",
Thu 08/01/2026 13:30,"55.92",
Thu 08/01/2026 14:00,"48.6",
Thu 08/01/2026 14:30,"31.8",
Thu 08/01/2026 15:00,"13.2",
Thu 08/01/2026 15:30,"33",
Thu 08/01/2026 16:00,"21.36",
Thu 08/01/2026 16:30,"17.16",
Thu 08/01/2026 17:00,"6.48",
Thu 08/01/2026 17:30,"4.92",
Thu 08/01/2026 18:00,"5.16",
Thu 08/01/2026 18:30,"4.92",
Thu 08/01/2026 19:00,"4.56",
Thu 08/01/2026 19:30,"4.8",
Thu 08/01/2026 20:00,"5.28",
Thu 08/01/2026 20:30,"4.56",
Thu 08/01/2026 21:00,"4.8",
Thu 08/01/2026 21:30,"5.28",
Thu 08/01/2026 22:00,"4.44",
Thu 08/01/2026 22:30,"4.44",
Thu 08/01/2026 23:00,"4.8",
Thu 08/01/2026 23:30,"5.04",
Fri 09/01/2026 00:00,"4.32",
