Timeline Report

Created,"Created: 18/02/2026 at 20:48:48"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"09/01/2026"
To,"09/01/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Fri 09/01/2026 00:30,"0",
Fri 09/01/2026 01:00,"0",
Fri 09/01/2026 01:30,"0",
Fri 09/01/2026 02:00,"0",
Fri 09/01/2026 02:30,"0",
Fri 09/01/2026 03:00,"0",
Fri 09/01/2026 03:30,"0",
Fri 09/01/2026 04:00,"0",
Fri 09/01/2026 04:30,"0",
Fri 09/01/2026 05:00,"0",
Fri 09/01/2026 05:30,"0",
Fri 09/01/2026 06:00,"0",
Fri 09/01/2026 06:30,"0",
Fri 09/01/2026 07:00,"0",
Fri 09/01/2026 07:30,"0",
Fri 09/01/2026 08:00,"0",
Fri 09/01/2026 08:30,"2.4",
Fri 09/01/2026 09:00,"90.24",
Fri 09/01/2026 09:30,"274.8",
Fri 09/01/2026 10:00,"623.04",
Fri 09/01/2026 10:30,"1412.6",
Fri 09/01/2026 11:00,"1734.7",
Fri 09/01/2026 11:30,"2471.5",
Fri 09/01/2026 12:00,"2197.2",
Fri 09/01/2026 12:30,"2155.7",
Fri 09/01/2026 13:00,"2987.8",
Fri 09/01/2026 13:30,"3362.4",
Fri 09/01/2026 14:00,"2901.1",
Fri 09/01/2026 14:30,"1695.1",
Fri 09/01/2026 15:00,"1361.8",
Fri 09/01/2026 15:30,"1246.8",
Fri 09/01/2026 16:00,"286.34",
Fri 09/01/2026 16:30,"149.76",
Fri 09/01/2026 17:00,"2.64",
Fri 09/01/2026 17:30,"0",
Fri 09/01/2026 18:00,"0",
Fri 09/01/2026 18:30,"0",
Fri 09/01/2026 19:00,"0",
Fri 09/01/2026 19:30,"0",
Fri 09/01/2026 20:00,"0",
Fri 09/01/2026 20:30,"0",
Fri 09/01/2026 21:00,"0",
Fri 09/01/2026 21:30,"0",
Fri 09/01/2026 22:00,"0",
Fri 09/01/2026 22:30,"0",
Fri 09/01/2026 23:00,"0",
Fri 09/01/2026 23:30,"0",
Sat 10/01/2026 00:00,"0",
