Timeline Report

Created,"Created: 18/02/2026 at 20:45:37"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"24/12/2025"
To,"24/12/2025"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Wed 24/12/2025 00:30,"0",
Wed 24/12/2025 01:00,"0",
Wed 24/12/2025 01:30,"0",
Wed 24/12/2025 02:00,"0",
Wed 24/12/2025 02:30,"0",
Wed 24/12/2025 03:00,"0",
Wed 24/12/2025 03:30,"0",
Wed 24/12/2025 04:00,"0",
Wed 24/12/2025 04:30,"0",
Wed 24/12/2025 05:00,"0",
Wed 24/12/2025 05:30,"0",
Wed 24/12/2025 06:00,"0",
Wed 24/12/2025 06:30,"0",
Wed 24/12/2025 07:00,"0",
Wed 24/12/2025 07:30,"0",
Wed 24/12/2025 08:00,"0",
Wed 24/12/2025 08:30,"10.32",
Wed 24/12/2025 09:00,"163.44",
Wed 24/12/2025 09:30,"619.68",
Wed 24/12/2025 10:00,"1204.5",
Wed 24/12/2025 10:30,"1685.3",
Wed 24/12/2025 11:00,"2230.8",
Wed 24/12/2025 11:30,"2589.8",
Wed 24/12/2025 12:00,"2919.6",
Wed 24/12/2025 12:30,"3147.2",
Wed 24/12/2025 13:00,"2905.2",
Wed 24/12/2025 13:30,"2856",
Wed 24/12/2025 14:00,"2732.1",
Wed 24/12/2025 14:30,"2270.2",
Wed 24/12/2025 15:00,"1652.1",
Wed 24/12/2025 15:30,"986.96",
Wed 24/12/2025 16:00,"358.08",
Wed 24/12/2025 16:30,"31.92",
Wed 24/12/2025 17:00,"0",
Wed 24/12/2025 17:30,"0",
Wed 24/12/2025 18:00,"0",
Wed 24/12/2025 18:30,"0",
Wed 24/12/2025 19:00,"0",
Wed 24/12/2025 19:30,"0",
Wed 24/12/2025 20:00,"0",
Wed 24/12/2025 20:30,"0",
Wed 24/12/2025 21:00,"0",
Wed 24/12/2025 21:30,"0",
Wed 24/12/2025 22:00,"0",
Wed 24/12/2025 22:30,"0",
Wed 24/12/2025 23:00,"0",
Wed 24/12/2025 23:30,"0",
Thu 25/12/2025 00:00,"0",
