Timeline Report

Created,"Created: 18/02/2026 at 20:45:48"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"25/12/2025"
To,"25/12/2025"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Thu 25/12/2025 00:30,"0",
Thu 25/12/2025 01:00,"0",
Thu 25/12/2025 01:30,"0",
Thu 25/12/2025 02:00,"0",
Thu 25/12/2025 02:30,"0",
Thu 25/12/2025 03:00,"0",
Thu 25/12/2025 03:30,"0",
Thu 25/12/2025 04:00,"0",
Thu 25/12/2025 04:30,"0",
Thu 25/12/2025 05:00,"0",
Thu 25/12/2025 05:30,"0",
Thu 25/12/2025 06:00,"0",
Thu 25/12/2025 06:30,"0",
Thu 25/12/2025 07:00,"0",
Thu 25/12/2025 07:30,"0",
Thu 25/12/2025 08:00,"0",
Thu 25/12/2025 08:30,"10.56",
Thu 25/12/2025 09:00,"187.68",
Thu 25/12/2025 09:30,"698.4",
Thu 25/12/2025 10:00,"1291.9",
Thu 25/12/2025 10:30,"1884.9",
Thu 25/12/2025 11:00,"2338.6",
Thu 25/12/2025 11:30,"2677.9",
Thu 25/12/2025 12:00,"3007",
Thu 25/12/2025 12:30,"3207.1",
Thu 25/12/2025 13:00,"3206.9",
Thu 25/12/2025 13:30,"3080.4",
Thu 25/12/2025 14:00,"2761.4",
Thu 25/12/2025 14:30,"2281.2",
Thu 25/12/2025 15:00,"1670.9",
Thu 25/12/2025 15:30,"978.28",
Thu 25/12/2025 16:00,"365.76",
Thu 25/12/2025 16:30,"33.36",
Thu 25/12/2025 17:00,"0",
Thu 25/12/2025 17:30,"0",
Thu 25/12/2025 18:00,"0",
Thu 25/12/2025 18:30,"0",
Thu 25/12/2025 19:00,"0",
Thu 25/12/2025 19:30,"0",
Thu 25/12/2025 20:00,"0",
Thu 25/12/2025 20:30,"0",
Thu 25/12/2025 21:00,"0",
Thu 25/12/2025 21:30,"0",
Thu 25/12/2025 22:00,"0",
Thu 25/12/2025 22:30,"0",
Thu 25/12/2025 23:00,"0",
Thu 25/12/2025 23:30,"0",
Fri 26/12/2025 00:00,"0",
