Timeline Report

Created,"Created: 18/02/2026 at 20:45:00"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"21/12/2025"
To,"21/12/2025"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Sun 21/12/2025 00:30,"0",
Sun 21/12/2025 01:00,"0",
Sun 21/12/2025 01:30,"0",
Sun 21/12/2025 02:00,"0",
Sun 21/12/2025 02:30,"0",
Sun 21/12/2025 03:00,"0",
Sun 21/12/2025 03:30,"0",
Sun 21/12/2025 04:00,"0",
Sun 21/12/2025 04:30,"0",
Sun 21/12/2025 05:00,"0",
Sun 21/12/2025 05:30,"0",
Sun 21/12/2025 06:00,"0",
Sun 21/12/2025 06:30,"0",
Sun 21/12/2025 07:00,"0",
Sun 21/12/2025 07:30,"0",
Sun 21/12/2025 08:00,"0",
Sun 21/12/2025 08:30,"1.44",
Sun 21/12/2025 09:00,"92.4",
Sun 21/12/2025 09:30,"331.2",
Sun 21/12/2025 10:00,"533.52",
Sun 21/12/2025 10:30,"703.44",
Sun 21/12/2025 11:00,"941.76",
Sun 21/12/2025 11:30,"1377.1",
Sun 21/12/2025 12:00,"1358.4",
Sun 21/12/2025 12:30,"1435.9",
Sun 21/12/2025 13:00,"1103.8",
Sun 21/12/2025 13:30,"796.32",
Sun 21/12/2025 14:00,"536.4",
Sun 21/12/2025 14:30,"625.44",
Sun 21/12/2025 15:00,"487.44",
Sun 21/12/2025 15:30,"203.28",
Sun 21/12/2025 16:00,"97.2",
Sun 21/12/2025 16:30,"3.84",
Sun 21/12/2025 17:00,"0",
Sun 21/12/2025 17:30,"0",
Sun 21/12/2025 18:00,"0",
Sun 21/12/2025 18:30,"0",
Sun 21/12/2025 19:00,"0",
Sun 21/12/2025 19:30,"0",
Sun 21/12/2025 20:00,"0",
Sun 21/12/2025 20:30,"0",
Sun 21/12/2025 21:00,"0",
Sun 21/12/2025 21:30,"0",
Sun 21/12/2025 22:00,"0",
Sun 21/12/2025 22:30,"0",
Sun 21/12/2025 23:00,"0",
Sun 21/12/2025 23:30,"0",
Mon 22/12/2025 00:00,"0",
