Timeline Report

Created,"Created: 18/02/2026 at 20:49:48"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"14/01/2026"
To,"14/01/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Wed 14/01/2026 00:30,"0",
Wed 14/01/2026 01:00,"0",
Wed 14/01/2026 01:30,"0",
Wed 14/01/2026 02:00,"0",
Wed 14/01/2026 02:30,"0",
Wed 14/01/2026 03:00,"0",
Wed 14/01/2026 03:30,"0",
Wed 14/01/2026 04:00,"0",
Wed 14/01/2026 04:30,"0",
Wed 14/01/2026 05:00,"0",
Wed 14/01/2026 05:30,"0",
Wed 14/01/2026 06:00,"0",
Wed 14/01/2026 06:30,"0",
Wed 14/01/2026 07:00,"0",
Wed 14/01/2026 07:30,"0",
Wed 14/01/2026 08:00,"0",
Wed 14/01/2026 08:30,"35.28",
Wed 14/01/2026 09:00,"161.04",
Wed 14/01/2026 09:30,"288",
Wed 14/01/2026 10:00,"553.44",
Wed 14/01/2026 10:30,"986.16",
Wed 14/01/2026 11:00,"1287.6",
Wed 14/01/2026 11:30,"1664.6",
Wed 14/01/2026 12:00,"2107.9",
Wed 14/01/2026 12:30,"1267.9",
Wed 14/01/2026 13:00,"2000.9",
Wed 14/01/2026 13:30,"1038.7",
Wed 14/01/2026 14:00,"508.88",
Wed 14/01/2026 14:30,"540.24",
Wed 14/01/2026 15:00,"780.96",
Wed 14/01/2026 15:30,"485.76",
Wed 14/01/2026 16:00,"272.88",
Wed 14/01/2026 16:30,"72.96",
Wed 14/01/2026 17:00,"0.24",
Wed 14/01/2026 17:30,"0",
Wed 14/01/2026 18:00,"0",
Wed 14/01/2026 18:30,"0",
Wed 14/01/2026 19:00,"0",
Wed 14/01/2026 19:30,"0",
Wed 14/01/2026 20:00,"0",
Wed 14/01/2026 20:30,"0",
Wed 14/01/2026 21:00,"0",
Wed 14/01/2026 21:30,"0",
Wed 14/01/2026 22:00,"0",
Wed 14/01/2026 22:30,"0",
Wed 14/01/2026 23:00,"0",
Wed 14/01/2026 23:30,"0",
Thu 15/01/2026 00:00,"0",
