Timeline Report

Created,"Created: 18/02/2026 at 20:43:25"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"13/12/2025"
To,"13/12/2025"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Sat 13/12/2025 00:30,"0",
Sat 13/12/2025 01:00,"0",
Sat 13/12/2025 01:30,"0",
Sat 13/12/2025 02:00,"0",
Sat 13/12/2025 02:30,"0",
Sat 13/12/2025 03:00,"0",
Sat 13/12/2025 03:30,"0",
Sat 13/12/2025 04:00,"0",
Sat 13/12/2025 04:30,"0",
Sat 13/12/2025 05:00,"0",
Sat 13/12/2025 05:30,"0",
Sat 13/12/2025 06:00,"0",
Sat 13/12/2025 06:30,"0",
Sat 13/12/2025 07:00,"0",
Sat 13/12/2025 07:30,"0",
Sat 13/12/2025 08:00,"0",
Sat 13/12/2025 08:30,"21.36",
Sat 13/12/2025 09:00,"267.6",
Sat 13/12/2025 09:30,"384.48",
Sat 13/12/2025 10:00,"918.72",
Sat 13/12/2025 10:30,"1134.4",
Sat 13/12/2025 11:00,"1376.9",
Sat 13/12/2025 11:30,"1446.3",
Sat 13/12/2025 12:00,"1595.2",
Sat 13/12/2025 12:30,"1898.4",
Sat 13/12/2025 13:00,"1894.1",
Sat 13/12/2025 13:30,"1897.5",
Sat 13/12/2025 14:00,"816.96",
Sat 13/12/2025 14:30,"562.32",
Sat 13/12/2025 15:00,"558.96",
Sat 13/12/2025 15:30,"333.84",
Sat 13/12/2025 16:00,"84",
Sat 13/12/2025 16:30,"0",
Sat 13/12/2025 17:00,"0",
Sat 13/12/2025 17:30,"0",
Sat 13/12/2025 18:00,"0",
Sat 13/12/2025 18:30,"0",
Sat 13/12/2025 19:00,"0",
Sat 13/12/2025 19:30,"0",
Sat 13/12/2025 20:00,"0",
Sat 13/12/2025 20:30,"0",
Sat 13/12/2025 21:00,"0",
Sat 13/12/2025 21:30,"0",
Sat 13/12/2025 22:00,"0",
Sat 13/12/2025 22:30,"0",
Sat 13/12/2025 23:00,"0",
Sat 13/12/2025 23:30,"0",
Sun 14/12/2025 00:00,"0",
