Timeline Report

Created,"Created: 18/02/2026 at 20:55:11"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"11/02/2026"
To,"11/02/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Wed 11/02/2026 00:30,"0",
Wed 11/02/2026 01:00,"0",
Wed 11/02/2026 01:30,"0",
Wed 11/02/2026 02:00,"0",
Wed 11/02/2026 02:30,"0",
Wed 11/02/2026 03:00,"0",
Wed 11/02/2026 03:30,"0",
Wed 11/02/2026 04:00,"0",
Wed 11/02/2026 04:30,"0",
Wed 11/02/2026 05:00,"0",
Wed 11/02/2026 05:30,"0",
Wed 11/02/2026 06:00,"0",
Wed 11/02/2026 06:30,"0",
Wed 11/02/2026 07:00,"0",
Wed 11/02/2026 07:30,"0",
Wed 11/02/2026 08:00,"6.24",
Wed 11/02/2026 08:30,"170.4",
Wed 11/02/2026 09:00,"293.76",
Wed 11/02/2026 09:30,"681.36",
Wed 11/02/2026 10:00,"1868.8",
Wed 11/02/2026 10:30,"1458.5",
Wed 11/02/2026 11:00,"3299.8",
Wed 11/02/2026 11:30,"2236.5",
Wed 11/02/2026 12:00,"2252.2",
Wed 11/02/2026 12:30,"1548",
Wed 11/02/2026 13:00,"3017.5",
Wed 11/02/2026 13:30,"4200.3",
Wed 11/02/2026 14:00,"4298.4",
Wed 11/02/2026 14:30,"2872.8",
Wed 11/02/2026 15:00,"3368.4",
Wed 11/02/2026 15:30,"2184",
Wed 11/02/2026 16:00,"2075.7",
Wed 11/02/2026 16:30,"1107.4",
Wed 11/02/2026 17:00,"228.02",
Wed 11/02/2026 17:30,"80.4",
Wed 11/02/2026 18:00,"0",
Wed 11/02/2026 18:30,"0",
Wed 11/02/2026 19:00,"0",
Wed 11/02/2026 19:30,"0",
Wed 11/02/2026 20:00,"0",
Wed 11/02/2026 20:30,"0",
Wed 11/02/2026 21:00,"0",
Wed 11/02/2026 21:30,"0",
Wed 11/02/2026 22:00,"0",
Wed 11/02/2026 22:30,"0",
Wed 11/02/2026 23:00,"0",
Wed 11/02/2026 23:30,"0",
Thu 12/02/2026 00:00,"0",
