Timeline Report

Created,"Created: 18/02/2026 at 20:51:48"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"24/01/2026"
To,"24/01/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Sat 24/01/2026 00:30,"0",
Sat 24/01/2026 01:00,"0",
Sat 24/01/2026 01:30,"0",
Sat 24/01/2026 02:00,"0",
Sat 24/01/2026 02:30,"0",
Sat 24/01/2026 03:00,"0",
Sat 24/01/2026 03:30,"0",
Sat 24/01/2026 04:00,"0",
Sat 24/01/2026 04:30,"0",
Sat 24/01/2026 05:00,"0",
Sat 24/01/2026 05:30,"0",
Sat 24/01/2026 06:00,"0",
Sat 24/01/2026 06:30,"0",
Sat 24/01/2026 07:00,"0",
Sat 24/01/2026 07:30,"0",
Sat 24/01/2026 08:00,"0",
Sat 24/01/2026 08:30,"0.48",
Sat 24/01/2026 09:00,"50.88",
Sat 24/01/2026 09:30,"86.4",
Sat 24/01/2026 10:00,"75.6",
Sat 24/01/2026 10:30,"125.52",
Sat 24/01/2026 11:00,"230.64",
Sat 24/01/2026 11:30,"357.36",
Sat 24/01/2026 12:00,"238.32",
Sat 24/01/2026 12:30,"544.56",
Sat 24/01/2026 13:00,"581.76",
Sat 24/01/2026 13:30,"548.16",
Sat 24/01/2026 14:00,"582.72",
Sat 24/01/2026 14:30,"664.08",
Sat 24/01/2026 15:00,"421.2",
Sat 24/01/2026 15:30,"277.68",
Sat 24/01/2026 16:00,"85.68",
Sat 24/01/2026 16:30,"24.48",
Sat 24/01/2026 17:00,"2.88",
Sat 24/01/2026 17:30,"0",
Sat 24/01/2026 18:00,"0",
Sat 24/01/2026 18:30,"0",
Sat 24/01/2026 19:00,"0",
Sat 24/01/2026 19:30,"0",
Sat 24/01/2026 20:00,"0",
Sat 24/01/2026 20:30,"0",
Sat 24/01/2026 21:00,"0",
Sat 24/01/2026 21:30,"0",
Sat 24/01/2026 22:00,"0",
Sat 24/01/2026 22:30,"0",
Sat 24/01/2026 23:00,"0",
Sat 24/01/2026 23:30,"0",
Sun 25/01/2026 00:00,"0",
