SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2025-12-02,1,2025-12-02T00:00:00Z,2025-12-03T00:44:34Z,54.000000000000000000,54.000000000000000000,False,N,0.000000000000000000,-38.740370972222223145,0.00,0.00,,,586.788712083333280134,-615.607037638888868969,-250.000000000000000000,240.000000000000000000,586.788712083333280134,-614.607037638888868969,-250.000000000000000000,240.000000000000000000
2025-12-02,2,2025-12-02T00:30:00Z,2025-12-03T01:14:33Z,94.900000000000005684,94.900000000000005684,False,P,0.000000000000000000,24.694673117408907359,0.00,0.00,,,560.500000493702259519,-589.633326882591063622,-250.000000000000000000,303.778000000000020009,559.500000493702259519,-589.633326882591063622,-250.000000000000000000,303.778000000000020009
2025-12-02,3,2025-12-02T01:00:00Z,2025-12-03T01:44:39Z,95.000000000000000000,95.000000000000000000,False,P,0.000000000000000000,133.831433472222215642,0.00,0.00,,,560.518567638888839610,-412.010233194444424498,-350.000000000000000000,335.000000000000000000,559.518567638888839610,-412.010233194444424498,-350.000000000000000000,335.000000000000000000
2025-12-02,4,2025-12-02T01:30:00Z,2025-12-03T02:15:26Z,102.000000000000000000,102.000000000000000000,False,P,0.000000000000000000,359.105333333333305745,0.00,0.00,,,560.524999999999977263,-171.375000000000000000,-350.000000000000000000,319.221999999999979991,560.524999999999977263,-171.375000000000000000,-350.000000000000000000,318.221999999999979991
2025-12-02,5,2025-12-02T02:00:00Z,2025-12-03T02:44:37Z,103.000000000000000000,103.000000000000000000,False,P,0.000000000000000000,578.314167500000053224,0.00,0.00,103.000000000000000000,1.000000000000000000,560.602499999999963620,-297.610832500000014988,0.000000000000000000,315.000000000000000000,560.602499999999963620,-297.610832500000014988,,314.000000000000000000
2025-12-02,6,2025-12-02T02:30:00Z,2025-12-03T03:14:38Z,103.000000000000000000,103.000000000000000000,False,P,0.000000000000000000,402.413218373015865836,0.00,0.00,103.000000000000000000,1.000000000000000000,560.761774305555604769,-473.336781626984134164,0.000000000000000000,315.000000000000000000,560.761774305555604769,-473.336781626984134164,,314.000000000000000000
2025-12-02,7,2025-12-02T03:00:00Z,2025-12-03T03:44:31Z,92.000000000000000000,92.000000000000000000,False,P,0.000000000000000000,69.108232361111106457,0.00,0.00,,,560.858763333333286027,-807.167110416666673700,0.000000000000000000,315.000000000000000000,559.858763333333286027,-807.167110416666673700,,315.000000000000000000
2025-12-02,8,2025-12-02T03:30:00Z,2025-12-03T04:14:33Z,27.044805283950616115,27.044805283950616115,False,N,0.000000000000000000,-202.555723286344402823,0.00,0.00,,,565.021674136495107632,-1030.113611033950519413,0.000000000000000000,262.500000000000000000,565.021674136495107632,-1029.113611033950519413,,262.500000000000000000
2025-12-02,9,2025-12-02T04:00:00Z,2025-12-03T04:44:45Z,-5.500000000000000000,-5.500000000000000000,False,N,0.000000000000000000,-199.869445694444436867,0.00,0.00,,,561.361111111111085847,-1001.194445694444425499,0.000000000000000000,240.000000000000000000,561.361111111111085847,-1000.194445694444425499,,240.000000000000000000
2025-12-02,10,2025-12-02T04:30:00Z,2025-12-03T05:14:24Z,44.390000000000000568,44.390000000000000568,False,N,0.000000000000000000,-61.101904761904762609,0.00,0.00,,,599.437076944444470428,-901.257316289682535171,0.000000000000000000,240.000000000000000000,599.437076944444470428,-900.257316289682535171,,240.000000000000000000
2025-12-02,11,2025-12-02T05:00:00Z,2025-12-03T05:44:31Z,94.000000000000000000,94.000000000000000000,False,P,0.000000000000000000,119.325678805620611911,0.00,0.00,,,658.213907099271409606,-860.624228293650844535,0.000000000000000000,321.110999999999989996,657.213907099271409606,-860.624228293650844535,,321.110999999999989996
2025-12-02,12,2025-12-02T05:30:00Z,2025-12-03T06:14:32Z,92.000000000000000000,92.000000000000000000,False,P,0.000000000000000000,48.108936768800418804,0.00,0.00,,,573.581540300546407707,-898.391811865079375821,0.000000000000000000,372.889000000000010004,572.581540300546407707,-898.391811865079375821,,372.889000000000010004
2025-12-02,13,2025-12-02T06:00:00Z,2025-12-03T06:44:26Z,93.950000000000002842,93.950000000000002842,False,P,0.000000000000000000,24.025345146888025027,0.00,0.00,,,507.081256213790481979,-723.514244400235725152,0.000000000000000000,240.000000000000000000,506.081256213790481979,-723.514244400235725152,,240.000000000000000000
2025-12-02,14,2025-12-02T06:30:00Z,2025-12-03T07:14:28Z,70.000000000000000000,70.000000000000000000,False,P,0.000000000000000000,69.936888796328929629,0.00,0.00,,,617.144373505779753941,-787.634635247085270748,0.000000000000000000,240.000000000000000000,616.144373505779753941,-787.634635247085270748,,240.000000000000000000
