SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2026-01-21,1,2026-01-21T00:00:00Z,2026-01-22T00:44:34Z,73.609999999999999432,73.609999999999999432,False,N,0.000000000000000000,-20.447788976608187284,0.00,0.00,,,1929.564044356725162288,-1985.390161578947299859,0.000000000000000000,35.268999999999998352,1929.564044356725162288,-1984.390161578947299859,,35.268999999999998352
2026-01-21,2,2026-01-21T00:30:00Z,2026-01-22T01:14:33Z,103.000000000000000000,103.000000000000000000,False,P,0.000000000000000000,205.366600416666670981,0.00,0.00,,,2033.448822638888941583,-1892.274099722222217679,0.000000000000000000,64.000000000000000000,2032.448822638888941583,-1892.274099722222217679,,64.000000000000000000
2026-01-21,3,2026-01-21T01:00:00Z,2026-01-22T01:44:41Z,104.000000000000000000,104.000000000000000000,False,P,0.000000000000000000,315.162215416666640522,0.00,0.00,,,2069.903877361110971833,-1758.601933333333363407,0.000000000000000000,3.597999999999999865,2068.903877361110971833,-1758.601933333333363407,,3.597999999999999865
2026-01-21,4,2026-01-21T01:30:00Z,2026-01-22T02:16:22Z,103.000000000000000000,103.000000000000000000,False,P,0.000000000000000000,151.300000000000011369,0.00,0.00,,,1845.777900277777689553,-1694.394566944444477485,0.000000000000000000,0.000000000000000000,1844.777900277777689553,-1694.394566944444477485,,
2026-01-21,5,2026-01-21T02:00:00Z,2026-01-22T02:44:43Z,103.000000000000000000,103.000000000000000000,False,P,0.000000000000000000,31.321684444444443329,0.00,0.00,,,1756.459901666666610254,-1768.759904722222245255,0.000000000000000000,43.765999999999998238,1755.459901666666610254,-1768.759904722222245255,,43.765999999999998238
2026-01-21,6,2026-01-21T02:30:00Z,2026-01-22T03:14:32Z,103.000000000000000000,103.000000000000000000,False,P,0.000000000000000000,151.506087920718641726,0.00,0.00,,,1845.706087920718573514,-1694.108010997641713402,0.000000000000000000,0.000000000000000000,1844.706087920718573514,-1694.108010997641713402,,
2026-01-21,7,2026-01-21T03:00:00Z,2026-01-22T03:44:32Z,103.000000000000000000,103.000000000000000000,False,P,0.000000000000000000,50.597044313909776747,0.00,0.00,,,1612.497377647243183674,-1616.013167120927391807,0.000000000000000000,54.232999999999996987,1611.497377647243183674,-1616.013167120927391807,,54.232999999999996987
2026-01-21,8,2026-01-21T03:30:00Z,2026-01-22T04:14:32Z,77.814697364271879110,77.814697364271879110,False,N,0.000000000000000000,-121.476024895833333517,0.00,0.00,77.824080030822443632,0.744046666666666634,1458.003365520833312985,-1650.692798933531776129,0.000000000000000000,71.466999999999998749,1458.003365520833312985,-1649.692798933531776129,,71.466999999999998749
2026-01-21,9,2026-01-21T04:00:00Z,2026-01-22T04:44:28Z,103.000000000000000000,103.000000000000000000,False,P,0.000000000000000000,67.200283625730989456,0.00,0.00,,,1599.221839181286441089,-1594.140114035087663069,0.000000000000000000,62.183999999999997499,1598.221839181286441089,-1594.140114035087663069,,62.183999999999997499
2026-01-21,10,2026-01-21T04:30:00Z,2026-01-22T05:14:37Z,103.000000000000000000,103.000000000000000000,False,P,0.000000000000000000,132.512032175716427673,0.00,0.00,,,1590.322865509049734101,-1459.969502009803818510,0.000000000000000000,1.949999999999999956,1589.322865509049734101,-1459.969502009803818510,,1.949999999999999956
2026-01-21,11,2026-01-21T05:00:00Z,2026-01-22T05:44:27Z,103.000000000000000000,103.000000000000000000,False,P,0.000000000000000000,40.946221001220997948,0.00,0.00,,,1411.037887667887616772,-1370.426111111111140417,0.000000000000000000,0.000000000000000000,1410.037887667887616772,-1370.426111111111140417,,
2026-01-21,12,2026-01-21T05:30:00Z,2026-01-22T06:14:28Z,103.000000000000000000,103.000000000000000000,False,P,0.000000000000000000,117.994541033496730620,0.00,0.00,,,1501.927874366830110375,-1384.088053521825486314,0.000000000000000000,0.000000000000000000,1500.927874366830110375,-1384.088053521825486314,,
2026-01-21,13,2026-01-21T06:00:00Z,2026-01-22T06:44:33Z,104.659796628676716068,104.659796628676716068,False,P,0.000000000000000000,308.693796672500297973,0.00,0.00,,,1772.899130005833512769,-1536.814900983796860601,0.000000000000000000,72.302999999999997272,1772.899130005833512769,-1536.814900983796860601,,71.302999999999997272
2026-01-21,14,2026-01-21T06:30:00Z,2026-01-22T07:14:25Z,115.000000000000000000,115.000000000000000000,False,P,0.000000000000000000,456.056263616051580811,0.00,0.00,,,1819.317266949384929831,-1527.276028135362594185,0.000000000000000000,164.014000000000010004,1818.317266949384929831,-1527.276028135362594185,,164.014000000000010004
