SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2026-03-15,1,2026-03-15T00:00:00Z,2026-03-15T00:48:42Z,122.526507727359927458,122.526507727359927458,False,P,0.000000000000000000,235.038685694444438923,0.00,0.00,,,1452.613352361111083155,-1291.571688611111085265,0.000000000000000000,74.117000000000004434,1451.613352361111083155,-1291.571688611111085265,,74.117000000000004434
2026-03-15,2,2026-03-15T00:30:00Z,2026-03-15T01:18:36Z,122.500000000000000000,122.500000000000000000,False,P,0.000000000000000000,378.750202081514885322,0.00,0.00,,,1697.418906251818498276,-1391.631687224040661022,0.000000000000000000,73.144999999999996021,1696.418906251818498276,-1391.631687224040661022,,73.144999999999996021
2026-03-15,3,2026-03-15T01:00:00Z,2026-03-15T01:48:33Z,126.500000000000000000,126.500000000000000000,False,P,0.000000000000000000,391.458504248407336945,0.00,0.00,,,1617.804940557129611989,-1374.203834362703673833,0.000000000000000000,148.687999999999988177,1616.804940557129611989,-1374.203834362703673833,,148.687999999999988177
2026-03-15,4,2026-03-15T01:30:00Z,2026-03-15T02:18:37Z,120.849999999999994316,120.849999999999994316,False,P,0.000000000000000000,250.654165277777764231,0.00,0.00,,,1596.020831944444353212,-1383.645833333333257542,0.000000000000000000,38.549999999999997158,1595.020831944444353212,-1383.645833333333257542,,38.549999999999997158
2026-03-15,5,2026-03-15T02:00:00Z,2026-03-15T02:49:03Z,120.400000000000005684,120.400000000000005684,False,P,0.000000000000000000,391.759449725756098815,0.00,0.00,,,1809.084976813725461398,-1417.435580560191510813,0.000000000000000000,0.000000000000000000,1808.084976813725461398,-1417.435580560191510813,,
2026-03-15,6,2026-03-15T02:30:00Z,2026-03-15T03:18:39Z,73.629999999999995453,73.629999999999995453,False,N,0.000000000000000000,-30.280373480392157148,0.00,0.00,,,1666.157965686274565087,-1696.550839166666719393,0.000000000000000000,0.000000000000000000,1666.157965686274565087,-1695.550839166666719393,,
2026-03-15,7,2026-03-15T03:00:00Z,2026-03-15T03:48:40Z,73.629999999999995453,73.629999999999995453,False,N,0.000000000000000000,-151.894241037037033948,0.00,0.00,,,1567.676041666666606034,-1719.936949370370257384,0.000000000000000000,0.000000000000000000,1567.676041666666606034,-1718.936949370370257384,,
2026-03-15,8,2026-03-15T03:30:00Z,2026-03-15T04:19:05Z,33.000000000000000000,33.000000000000000000,False,N,0.000000000000000000,-345.520103306142630117,0.00,0.00,33.000000000000000000,1.000000000000000000,1745.606021119144770637,-2090.257143445031488227,0.000000000000000000,0.000000000000000000,1745.606021119144770637,-2089.257143445031488227,,
2026-03-15,9,2026-03-15T04:00:00Z,2026-03-15T04:48:43Z,89.689999999999997726,89.689999999999997726,False,N,0.000000000000000000,-75.604725350735236589,0.00,0.00,89.689999999999997726,0.000000000000000000,2179.407782503415546671,-2410.715555489623966423,0.000000000000000000,155.883999999999986130,2179.407782503415546671,-2409.715555489623966423,,155.883999999999986130
2026-03-15,10,2026-03-15T04:30:00Z,2026-03-15T05:18:36Z,78.170000000000001705,78.170000000000001705,False,N,0.000000000000000000,-75.287751225542550060,0.00,0.00,78.170000000000001705,0.000000000000000000,2349.909415441124110657,-2428.233340009099720191,0.000000000000000000,3.217000000000000082,2349.909415441124110657,-2427.233340009099720191,,3.217000000000000082
